,Id,Nome,album,Banda,Genero,Data_lancamento,Popularidade_Banda,Duracao,Popularidade,acustica,dancabilidade,energia,Instrumentalidade,vivacidade,Volume,speechiness,tempo,time_signature
0,1GQv9r0tn00ZfHTw92jAcW,CHOKE,ERROR,The Warning,"['mexican metal', 'monterrey indie']",2022-06-24,51,231854,48,8.65e-05,0.37,0.832,5.38e-05,0.0747,-4.857,0.041,175.922,4
1,2xXPVOKw75Ouju8Qu4SdIA,I Don't Wanna Talk (I Just Wanna Dance),Dreamland (+ Bonus Levels),Glass Animals,"['gauze pop', 'indietronica', 'shiver pop']",2021-09-09,77,195190,65,0.0156,0.703,0.624,5.53e-05,0.299,-6.228,0.0364,131.966,4
2,1elZoRKwy8Rirjv8yaBxp3,I Wanna Believe,I Wanna Believe,MISCHO,[],2022-01-01,27,192653,26,0.00232,0.676,0.834,1.47e-06,0.0723,-8.058,0.1,103.993,4
3,3ztKHejzVoxJRKSZHFFMdJ,Twilight Zone,The Long Versions - Part One,Golden Earring,"['album rock', 'classic rock', 'dutch pop', 'dutch prog', 'dutch rock', 'hard rock', 'nederpop']",2008-10-22,54,478106,55,0.00785,0.656,0.756,3.49e-05,0.0927,-6.516,0.0399,118.56,4
4,3YYnFEXCLNbaWuC0hIEnIS,Patient Number 9 (feat. Jeff Beck),Patient Number 9,Ozzy Osbourne,"['album rock', 'birmingham metal', 'hard rock', 'metal', 'rock']",2022-09-09,70,441402,60,0.000195,0.318,0.87,0.192,0.133,-4.246,0.0652,169.906,4
5,3FjpSnfyxtdzkfRITFFg2F,The World Is Burning,Ruins,Ember Falls,"['electronic djent', 'finnish metal', 'melodic metal']",2021-12-17,38,253400,41,1.89e-05,0.428,0.946,2.59e-05,0.384,-7.03,0.0957,150.01,4
6,2jY2PFrpUfA43XcQtDbSdz,Low Budget Horror,Low Budget Horror,RedHook,"['australian alternative rock', 'slayer']",2022-01-21,45,181631,45,0.00609,0.425,0.93,0.0,0.35,-3.592,0.16,155.283,4
7,5z0QlOV93W6Yo7DG2SYOJP,weapon,fever,Against The Current,"['neon pop punk', 'pixie', 'pop punk']",2021-07-23,63,197209,57,0.00021,0.402,0.924,0.0,0.237,-4.089,0.156,180.075,4
8,0Y2kTZlKmbcsLSTHnLETBj,Atonement,Atonement,Conquer Divide,"['metalcore', 'pixie', 'post-screamo']",2022-03-21,49,237115,52,0.00328,0.488,0.851,0.00222,0.087,-8.979,0.0396,103.974,4
9,4B0kB0hZMxRAZXW9aj1lbu,Chemicals,Chemicals,Conquer Divide,"['metalcore', 'pixie', 'post-screamo']",2020-08-07,49,230000,44,0.00175,0.383,0.945,8.02e-05,0.381,-3.74,0.0866,150.102,4
